name,lat,long,radius,homepage
Helferkreis Zorneding,48.08696,11.827109,1500,http://www.helferkreis-zorneding.de/
Helferkreis Tübinger und Hansastraße,48.13697,11.52226,1500,https://helferkreis-tuebinger-und-hansastrasse.traum-verleih.de/
AGA Aktionsgruppe Asyl Erding,48.311465,11.918876,1500,http://www.aktionsgruppe-asyl.de/
Miteinander leben in Hadern e.V.,48.12478,11.47879,1500,http://www.miteinander-leben-in-hadern.de/
Flüchtlingshilfe München,48.201295,11.593339,1500,http://fluechtlingshilfe-muenchen.de/
Helferkreis Bergkirchen,48.259027,11.366062,1500,http://helferkreis-bergkirchen.de/
Helferkreis des Pfarrverbands Laim,48.14051,11.49972,1500,https://www.pfarrverband-laim.de/pfarrverband-laim/gruppen/helferkreis-fluechtlinge/
Arbeitskreis Asyl Dachau,48.262998,11.433902,1500,https://www.arbeitskreis-asyl-dachau.de
Helferkreis Asyl Unterhaching,48.068918,11.621253,1500,http://www.helferkreisasyl-uhg.de/
Asylbwerber in Wolfratshausen,47.91023,11.427416,1500,https://asylinwor.wordpress.com/
Helferkreis Asyl Putzbrunn,48.075374,11.715823,1500,http://www.tolerantes-putzbrunn.de/helferkreis-asyl/
Helferkreis Flüchtlinge und Integration Pullach im Isartal,48.05745,11.519143,1500,http://www.helferkreis-fluechtlinge-pullach.de/
Asylhelferkreis Otterfing,47.909209,11.675348,1500,http://asyl-otterfing.de/
Helferkreis Asyl Ottobrunn / Hohenbrunn,48.040057,11.720001,1500,http://www.helferkreis-asyl.com/
Helferkreis Asyl Olching,48.20707,11.333475,1500,http://www.helferkreis-asyl-olching.de/
Helferkreis Asyl Oberschleißheim,48.252246,11.559062,1500,"http://www.oberschleissheim.de/index.php?id=0,229"
Flüchtlingsunterstützerkreis Neufahrn ,48.314982,11.661798,1500,https://www.kirche-neufahrn.de/neufahrn/gruppen/erwachsene/unterstuetzerkreis-asylbewerber/index.html
Helferkreis Moorenweis,48.154812,11.080725,1500,http://www.hk-moorenweis.de/
Helferkreis Asyl Mammendorf,48.210614,11.16742,1500,http://www.helferkreis-asyl-mammendorf.de/
Helferkreis Asyl Neuried,48.092047,11.462773,1500,https://www.wir-in-neuried.de/index.php/arbeitsgruppen
Helferkreis Asyl Würmtal,48.106822,11.424265,1500,"
http://www.asylkreis-wuermtal.de/"
Helferkreis Asyl in der Gemeinde Kirchheim,48.174449,11.752916,1500,https://www.helferkreis-asyl-kirchheim.de/
Helferkreis Asyl Ismaning,48.225897,11.674274,1500,https://ismaning.de/wohnen-leben/gefluechtete/
Helferkreis Grünwald,48.044112,11.53214,1500,http://helferkreis-gruenwald.de/
St. Maria Thalkirchen,48.09985,11.54466,1500,http://www.mariathalkirchen.de/index.php?id=321
Helferkreis Asyl Alling,48.140884,11.299713,1500,http://www.asylhelfer-alling.de/
Asylhelferkreis Eichenau,48.168699,11.323181,1500,https://asylhelfer-eichenau.de/
Asylhelfer Emmering,48.1841,11.275858,1500,http://asylhelfer-emmering.de/
Asylhelferkreis Feldkirchen,48.149094,11.731352,1500,https://www.feldkirchen.de/Asylhelferkreis-AHK-Feldkirchen.o3264.html
Helferkreis Asyl Fürstenfeldbruck,48.173937,11.243008,1500,http://www.asylhelfer-ffb.de/
Arbeitskreis Asyl Freising,48.40288,11.741185,1500,http://www.ak-asyl-freising.de/
Helferkreis Asyl Gauting,48.069684,11.378409,1500,http://www.asylgauting.de/
Arbeitskreis Asyl Germering,48.135181,11.369089,1500,http://www.ak-asyl-germering.de/
Helferkreis Germering,,,,http://www.helferkreis-germering.de/
Helferkreis Asyl in Gilching e.V.,48.109229,11.289969,1500,http://www.asyl-in-gilching.de/
Helferkreis Asyl Grasbrunn-Vaterstetten,48.123927,11.760013,1500,http://www.helferkreis-grasbrunn-vaterstetten.de/
Gröbenzell hilft Flüchtlingen,48.193283,11.375208,1500,http://asylgroebenzell.de/
Flüchtlingshilfe Erding,48.304526,11.925877,1500,https://www.fluechtlingshilfe-erding.org/
Helferkreis Asyl Moosinning,48.275364,11.837663,1500,https://www.aktionsgruppe-asyl.de/Archive/tag/helferkreis-moosinning
Helferkreis Karlsfeld,48.229073,11.474439,1500,http://hk-karlsfeld.de/
Helferkreis Unterföhring,48.191662,11.646044,1500,http://fluechtlingshilfe-unterfoehring.de/
Helferkreis Asyl Waldperlach,48.081349,11.672678,1500,https://www.facebook.com/helferkreiswaldperlach
Miteinander leben in Moosach,48.180351,11.51925,1500,http://www.miteinander-leben-in-moosach.de
Miteinander Leben in Berg am Laim,48.12291,11.641563,1500,https://www.evangelisch-sophie-scholl-m.de/
Miteinander Leben in Fürstenried,48.088421,11.481138,1500,http://www.ev-andreasgemeinde.de/contact
Helferkreis Messestadt,48.13832,11.687563,1500,http://www.buergerforum-messestadt.de/files/index_listL.php?seite=7&folge=00
Helferkreis Mainaustraße,48.146775,11.434409,1500,http://helferkreis-mainaustrasse.de
Portal Landkreis Dachau,48.330012,11.364065,2000,http://www.asyl-landkreis-dachau.de
Portal Landkreis Starnberg,48.008453,11.286046,2000,http://www.asylhelfer-landkreis-starnberg.de
Helferkreis Asyl Neubiberg,48.0747,11.6715,2000,https://www.helferkreis-asyl-neubiberg.de/
